,value,timestamp_sensor
146,158.59,2020-05-23 14:29:04
147,158.25,2020-05-23 14:49:05
148,158.38,2020-05-23 15:09:05
149,158.54,2020-05-23 15:29:05
150,158.55,2020-05-23 15:49:05
151,158.4,2020-05-23 16:09:06
152,158.45,2020-05-23 16:29:06
153,158.66,2020-05-23 16:49:06
154,159.12,2020-05-23 17:09:06
155,158.78,2020-05-23 17:29:06
156,158.88,2020-05-23 17:49:07
157,158.94,2020-05-23 18:09:07
158,159.06,2020-05-23 18:29:07
159,158.87,2020-05-23 18:49:07
160,158.83,2020-05-23 19:09:08
161,159.28,2020-05-23 19:29:08
162,159.77,2020-05-23 19:49:08
163,159.34,2020-05-23 20:09:08
164,159.49,2020-05-23 20:29:09
165,159.48,2020-05-23 20:49:09
166,159.19,2020-05-23 21:09:09
167,159.26,2020-05-23 21:29:09
168,159.43,2020-05-23 21:49:10
169,159.6,2020-05-23 22:09:10
170,159.13,2020-05-23 22:29:10
171,159.65,2020-05-23 22:49:10
172,159.32,2020-05-23 23:09:10
173,159.3,2020-05-23 23:29:11
174,158.73,2020-05-23 23:49:11
175,159.96,2020-05-24 00:09:11
176,159.06,2020-05-24 00:29:11
177,159.29,2020-05-24 00:49:12
178,158.83,2020-05-24 01:09:12
179,159.4,2020-05-24 01:29:12
180,158.94,2020-05-24 01:49:12
181,158.91,2020-05-24 02:09:13
182,159.1,2020-05-24 02:29:13
183,159.13,2020-05-24 02:49:13
184,159.29,2020-05-24 03:09:13
185,159.34,2020-05-24 03:29:13
186,159.3,2020-05-24 03:49:13
187,158.78,2020-05-24 04:09:14
188,159.32,2020-05-24 04:29:14
189,159.39,2020-05-24 04:49:14
190,159.24,2020-05-24 05:09:14
191,159.23,2020-05-24 05:29:14
192,159.46,2020-05-24 05:49:15
193,159.09,2020-05-24 06:09:15
194,159.31,2020-05-24 06:29:15
195,159.05,2020-05-24 06:49:16
196,159.45,2020-05-24 07:09:16
197,159.24,2020-05-24 07:29:16
198,159.05,2020-05-24 07:49:16
199,159.46,2020-05-24 08:09:17
200,159.37,2020-05-24 08:29:17
201,159.66,2020-05-24 08:49:17
202,159.53,2020-05-24 09:09:17
203,159.9,2020-05-24 09:29:17
204,159.82,2020-05-24 09:49:18
205,159.78,2020-05-24 10:09:18
206,159.34,2020-05-24 10:29:18
207,159.87,2020-05-24 10:49:18
208,159.36,2020-05-24 11:09:18
209,159.37,2020-05-24 11:29:19
210,159.45,2020-05-24 11:49:19
211,159.33,2020-05-24 12:09:19
212,159.85,2020-05-24 12:29:19
213,159.0,2020-05-24 12:49:20
214,159.45,2020-05-24 13:09:20
215,159.31,2020-05-24 13:29:20
216,159.23,2020-05-24 13:49:20
217,159.39,2020-05-24 14:09:20
218,159.41,2020-05-24 14:29:21
219,159.17,2020-05-24 14:49:21
220,159.19,2020-05-24 15:09:21
221,159.38,2020-05-24 15:29:21
222,159.33,2020-05-24 15:49:22
223,159.37,2020-05-24 16:09:22
224,159.06,2020-05-24 16:29:22
225,159.49,2020-05-24 16:49:22
226,159.31,2020-05-24 17:09:23
227,159.33,2020-05-24 17:29:23
228,159.31,2020-05-24 17:49:23
229,159.17,2020-05-24 18:09:23
230,159.81,2020-05-24 18:29:24
231,159.75,2020-05-24 18:49:24
232,159.52,2020-05-24 19:09:24
233,159.78,2020-05-24 19:29:24
234,159.78,2020-05-24 19:49:24
235,159.02,2020-05-24 20:09:25
236,159.75,2020-05-24 20:29:25
237,160.27,2020-05-24 20:49:25
238,160.57,2020-05-24 21:09:25
239,159.4,2020-05-24 21:29:26
240,159.59,2020-05-24 21:49:26
241,159.42,2020-05-24 22:09:26
242,159.95,2020-05-24 22:29:26
243,159.49,2020-05-24 22:49:26
244,160.91,2020-05-24 23:09:27
245,160.98,2020-05-24 23:29:27
246,160.51,2020-05-24 23:49:27
247,161.01,2020-05-25 00:09:27
248,161.34,2020-05-25 00:29:27
249,159.74,2020-05-25 00:49:28
250,159.34,2020-05-25 01:09:28
251,159.66,2020-05-25 01:29:28
252,159.27,2020-05-25 01:49:29
253,159.35,2020-05-25 02:09:29
254,159.6,2020-05-25 02:29:29
255,160.09,2020-05-25 02:49:29
256,159.12,2020-05-25 03:09:29
257,159.42,2020-05-25 03:29:30
258,159.63,2020-05-25 03:49:30
259,159.8,2020-05-25 04:09:30
260,159.96,2020-05-25 04:29:30
261,159.81,2020-05-25 04:49:30
262,160.0,2020-05-25 05:09:31
263,160.36,2020-05-25 05:29:31
264,160.84,2020-05-25 05:49:31
265,159.98,2020-05-25 06:09:32
266,159.59,2020-05-25 06:29:32
267,160.02,2020-05-25 06:49:32
268,159.69,2020-05-25 07:09:32
269,160.28,2020-05-25 07:29:33
270,160.02,2020-05-25 07:49:33
271,159.29,2020-05-25 08:09:33
272,159.92,2020-05-25 08:29:33
273,159.72,2020-05-25 08:49:33
274,159.58,2020-05-25 09:09:34
275,159.59,2020-05-25 09:29:34
276,159.42,2020-05-25 09:49:34
277,159.14,2020-05-25 10:09:34
278,159.72,2020-05-25 10:29:34
279,159.66,2020-05-25 10:49:35
280,159.42,2020-05-25 11:09:35
281,159.73,2020-05-25 11:29:35
282,160.17,2020-05-25 11:49:35
283,159.99,2020-05-25 12:09:36
284,159.47,2020-05-25 12:29:36
285,159.7,2020-05-25 12:49:36
286,159.81,2020-05-25 13:09:37
287,161.71,2020-05-25 13:29:37
288,160.43,2020-05-25 13:49:37
289,160.63,2020-05-25 14:09:37
290,161.04,2020-05-25 14:29:38
291,161.21,2020-05-25 14:49:38
